"ENGLISH","GERMAN","ENGLISH","GERMAN","ENGLISH","GERMAN"
"abrupt","abrupt","fresh","frisch","private","privat"
"additional","zusätzlich","friendly","freundlich","prodigious","erstaunlich"
"admirable","bewundernswert","friendly","benutzerfreundlich","prohibited","verboten"
"angry","aufgebracht","friendly","sympathisch","public","öffentlich"
"annoyed","gereizt","full","voll","punctual","punktuell"
"appalling","entsetzlich","fun","amüsant","rare","selten"
"approximate","annähernd","funny","witzig","ravi","überglücklich"
"attentive","aufmerksam","furious","wütend","realistic","realistisch"
"attractive","verführerisch","generous","großzügig","recent","frisch"
"automatic","automatisch","gifted","begabt","recycled","recycelt"
"bad","schlecht","gigantic","riesig","regular","regulär"
"bad","bösartig","global","weltweit","relevant","relevant"
"banal","banal","good","gut","reliable","zuverlässig"
"bearable","erträglich","guilty","schuldig","religious","religiös"
"beautiful","schön","happy","glücklich","remarkable","bemerkenswert"
"beautiful","herrlich","hard","hart","responsible","verantwortlich"
"believing","gläubig","heavy","schwer","rich","reich"
"big, big","fett","high","Höhe","romantic","romantisch"
"bitter","bitter","history","historisch","rotten","verfault"
"bored","gelangweilt","honest","ehrlich","sad","traurig"
"boring","langweilig","horrible","entsetzlich","salted","salzig"
"brave","mutig","hot","heiß","satisfactory","befriedigend"
"broken","kaputt, Gebrochen","huge","riesig","satisfied","zufrieden"
"bronzed","braungebrannt","ideal","ideal","scary","beängstigend"
"bulky","sperrig","identical","identisch","secret","geheim"
"bulky","umfangreich","idiot","Idiot","selfish","egoistisch"
"calm","Ruhig","illegal","rechtswidrig","serious, serious","ernst"
"capable","fähig","immediate","unmittelbar","short","kurz"
"captivating","fesselnd","immense","riesig","shy","schüchtern"
"catastrophic","katastrophal","important","bedeutend","sick","krank"
"cautious","vorsichtig","impossible","unmöglich","silent","lautlos"
"character","verhaltensgestört, charakterlich","impressive","eindrucksvoll","similar","gleichartig"
"charming","charmant","incredible","unglaublich","simple","einfach"
"cheap","billig","independent","selbstständig","sincere","aufrichtig"
"classic","klassisch","injured","Verletzt","slow","langsam"
"clear","klar","innocent","unschuldig","small","klein"
"clogged","verstopft","insignificant","unbedeutend","smart","intelligent"
"closed","geschlossen","insufficient","unzureichend","smiling","lächelnd"
"clumsy","ungeschickt","interesting","interessant","sociable","gesellig"
"cold","kalt","international","international","soft","sanft"
"colored","farbig","inventive","erfinderisch, kreativ","solid","fest"
"comfortable","komfortabel","involved","involviert","solitaire","einsam"
"commendable","lobenswert","irresistible","unwiderstehlich","spacious","geräumig"
"commercial","kommerziell","jealous","eifersüchtig","special","besonders"
"common","gemeinsam","kind","freundlich","specific","spezifisch"
"compact","kompakt","large","groß","spicy","würzig"
"compassionate","mitfühlend","last","letzter","splendid","großartig"
"complete","vollständig","lazy","faul","sporty, sporty","sportlich"
"complex","komplex","legal","legal","square","quadratisch"
"confident","zuversichtlich","light","leicht","sticky","klebrig"
"content","froh","little","wenig","still","unbeweglich"
"convincing","überzeugend","living","lebend","strange","merkwürdig"
"copy","exemplarisch","local","örtlich","strong","stark"
"correct, good","korrekt, okay","long","lang","stubborn","stur"
"coward","feige","lousy","lausig","stupid","dämlich"
"crazy, crazy","verrückt","low","niedrig","stupid","dumm"
"credible","glaubwürdig","lucky","glücklich","suitable","geeignet"
"cultural","kulturell","many","zahlreich","super","super"
"curious","neugierig","mature","reif","superb","großartig"
"cute","niedlich","medium","mittelmäßig","superficial","oberflächlich"
"dangerous","gefährlich","mellow","weich","superstitious","abergläubisch"
"dark","dunkel","modern","modern","surprised","erstaunt"
"dazzling","blendend","mortal","sterblich","surprised","überrascht"
"death","tot","motivated","motiviert","suspicious","misstrauisch"
"deep","tiefgehend","moving","bewegend","talented","talentiert"
"delectable","köstlich","much","viel","temporary","vorübergehend"
"delicious, delicious","köstlich","mute","stumm","terrible","furchtbar"
"democratic","demokratisch","mysterious","geheimnisvoll","thick","dick"
"depressed","deprimiert","narrow","eng","thin","dünn"
"determined","bestimmt","natural","natürlich","tiny","winzig"
"different","andersartig","near","nahe","tired","müde"
"difficult","schwierig","near","nahe","tiring","ermüdend"
"dirty","schmutzig","necessary","notwendig","together","zusammen"
"disappeared","verschollen","negligible","vernachlässigbar","tolerable","erträglich"
"disgusted","angeekelt","nervous","nervös","tolerant","tolerant"
"disgusting","ekelhaft","new","neu","total","total"
"distant","entfernt","next","nächster","toxic","giftig"
"dry","trocken","nice","nett","traditional","traditionell"
"dynamic","Dynamik","noisy","laut","triangular","dreieckig"
"easy","leicht","nostalgic","nostalgisch","troubling","beunruhigend"
"ecological","ökologisch","null","ungültig","TRUE","echt"
"economic","ökonomisch","obvious","offensichtlich","typical","typisch"
"edible","essbar","occupied","beschäftigt","unable","unfähig"
"effective","wirkungsvoll","official","offiziell","unbearable","unerträglich"
"elderly","alt","old","alt","unfair","ungerecht"
"electric","elektrisch","open","offen","unhappy","unglücklich"
"electronic","elektronisch","optimist","optimistisch","unique","einmalig"
"elegant","elegant","ordinary","gewöhnlich","unknown","unbekannt"
"empty","leer","original","originell","unlimited","unbeschränkt"
"energetic","energisch","overcrowded","übervölkert","unpleasant","unangenehm"
"enthusiastic","begeisterter","own","sauber","unpredictable","unvorhersehbar"
"equivalent","gleichwertig","painful","mühsam","untenable","unhaltbar"
"exact","richtig","passable","passabel","valuable","wertvoll"
"exasperated","verärgert","passionate","leidenschaftlich","various","verschiedenartig"
"excellent","ausgezeichnet","patient","geduldig","vast","weitläufig"
"exceptional","außergewöhnlich","perfect","perfekt","viscous","schleimig"
"excited","aufgeregt","persevering","ausdauernd","vulgar","vulgär"
"exciting","spannend","pessimistic","pessimistisch","vulnerable","verwundbar"
"excusable","entschuldbar","phenomenal","phänomenal","warm","warmherzig"
"exhilarating","aufregend","player","verspielt","weak","schwach"
